word,definition,example,sent
hiatus,a pause or gap in a sequence or activity,The band went on hiatus for three years before reuniting.,True
hierarchy,a system or organization in which people or groups are ranked above or below others,The corporate hierarchy had seven levels from entry-level employees to CEO.,True
histrionic,excessively theatrical or dramatic,Her histrionic reaction to the minor problem seemed out of proportion.,True
homage,special honor or respect shown publicly,The film pays homage to classic westerns of the 1960s.,True
homogeneous,of the same kind; consisting of similar parts,The neighborhood is becoming less homogeneous as different cultures move in.,True
hubris,excessive pride or self-confidence,His hubris led him to believe he could never fail.,True
hyperbole,exaggerated statements not meant to be taken literally,The claim that he "died of embarrassment" was mere hyperbole.,False,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
iconoclast,a person who attacks or criticizes cherished beliefs or institutions,She was an iconoclast who challenged traditional scientific thinking.,True
idiosyncrasy,a peculiar behavioral characteristic of an individual,One of his idiosyncrasies was always aligning his pencils perfectly on his desk.,True
idyllic,extremely happy, peaceful, or picturesque
ignominious,deserving or causing public disgrace or shame,The team suffered an ignominious defeat in the championship game.,True
illusory,based on or producing illusion; deceptive,The apparent economic recovery proved illusory as unemployment continued to rise.,True
imminent,about to happen,An announcement about the merger is imminent.,True
immutable,unchangeable over time or unable to be changed,The laws of physics are immutable.,True
impartial,treating all rivals or disputants equally,The judge remained impartial throughout the controversial trial.,True
impassive,not showing or feeling emotion,The poker player maintained an impassive expression despite having a winning hand.,True
impertinent,not showing proper respect; rude,The child asked impertinent questions about the visitor's age.,True
impervious,unable to be affected by,She seemed impervious to criticism.,True
impetuous,acting or done quickly and without thought or care,He made an impetuous decision to quit his job without having another one lined up.,True
implacable,unable to be appeased or placated,She was implacable in her opposition to the proposed changes.,True
implicit,implied though not directly expressed,There was an implicit agreement among the friends to avoid discussing politics.,True
imprecation,a spoken curse,He muttered imprecations under his breath as he tried to fix the broken pipe.,True
impropriety,failure to observe standards of honesty or modesty,The scandal involved financial impropriety by several executives.,True
improvident,not having or showing foresight; spendthrift or thoughtless,His improvident spending left him with no savings for retirement.,True
imprudent,not showing care for the consequences of an action,It would be imprudent to invest all your money in a single stock.,True
impudent,not showing due respect,The impudent child talked back to his teacher.,True
impugn,dispute the truth or validity of a statement,The lawyer tried to impugn the witness's testimony by pointing out inconsistencies.,True
impute,attribute something to someone,The media imputed corrupt motives to the politician's actions.,True
inadvertent,not resulting from or achieved through deliberate planning,She made an inadvertent error in her calculations.,True
inane,lacking sense or meaning; silly,The movie was full of inane dialogue that added nothing to the plot.,True
incessant,continuing without pause or interruption,The incessant barking of the dog kept them awake all night.,True
inchoate,just begun and so not fully formed or developed,The revolution was still in an inchoate stage.,True
incisive,having or showing the ability to identify the core of an issue,Her incisive analysis identified the key factors behind the company's failure.,True
inclination,a feeling that makes a person want to do something,She had no inclination to pursue a career in medicine.,True
incoherent,expressed in an incomprehensible or confusing way,His explanation was so incoherent that no one understood what he meant.,True
incongruous,not in harmony or keeping with surroundings or other aspects,The modern skyscraper looked incongruous among the historic buildings.,True
incorrigible,not able to be corrected or reformed,He was an incorrigible optimist who always saw the best in every situation.,True
incredulous,unwilling or unable to believe something,She was incredulous when he told her he had won the lottery.,True
incumbent,necessary for someone as a duty or responsibility,It is incumbent upon the president to promote unity.,True
indifferent,having no particular interest or sympathy; unconcerned,She was indifferent to the praise she received for her work.,True
indigenous,originating or occurring naturally in a particular place,Kangaroos are indigenous to Australia.,True
indigent,poor; needy,The charity provides food for indigent families in the community.,True
indignant,feeling or showing anger because of something unjust,She was indignant about being overlooked for promotion.,True
indolent,wanting to avoid activity or exertion; lazy,He spent an indolent summer lounging by the pool.,True
indomitable,impossible to subdue or defeat,She showed indomitable courage in the face of adversity.,True
indubitable,impossible to doubt; unquestionable,The evidence of his guilt was indubitable.,True
ineffable,too great or extreme to be expressed in words,The beauty of the sunset was ineffable.,True
ineluctable,not able to be avoided or escaped,Death is an ineluctable fact of life.,True
inept,having or showing no skill,His inept handling of the crisis made the situation worse.,True
inertia,a tendency to do nothing or to remain unchanged,Once he retired, he found it hard to overcome the inertia that kept him on the couch.
inevitable,certain to happen; unavoidable,With dark clouds gathering, rain seemed inevitable.
inexorable,impossible to stop or prevent,The inexorable advance of technology is changing every aspect of our lives.,True
infallible,incapable of making mistakes or being wrong,Even the most expert doctors are not infallible.,True
infamous,well known for some bad quality or deed,The area was infamous for its high crime rate.,True
infelicitous,unfortunate; inappropriate,His infelicitous remark caused an awkward silence at the dinner table.,True
infinitesimal,extremely small,The chance of winning the lottery is infinitesimal.,True
infirmity,physical or mental weakness,Age brings various infirmities.,True
inflection,a change in the pitch or tone of a person's voice,I could tell from the inflection in her voice that she was upset.,True
ingenuous,innocent and unsuspecting,His ingenuous trust in others sometimes led to disappointment.,True
ingratiate,bring oneself into favor with someone by flattering or pleasing them,He tried to ingratiate himself with his new boss by complimenting her management style.,True
inimical,tending to obstruct or harm,Excessive bureaucracy is inimical to innovation.,True
iniquity,gross injustice or wickedness,The dictator's rule was marked by iniquity and oppression.,True
injunction,an authoritative warning or order,The court issued an injunction preventing the company from continuing its harmful practices.,True
innate,inborn; natural,She has an innate talent for music.,True
innocuous,not harmful or offensive,His comments seemed innocuous but caused unexpected offense.,True
innovative,introducing new ideas or methods,The company is known for its innovative approach to problem-solving.,True
inordinate,unusually or disproportionately large,The project required an inordinate amount of time to complete.,True
inscrutable,impossible to understand or interpret,His inscrutable expression gave no hint of his thoughts.,True
insidious,proceeding in a gradual, subtle way with harmful effects,The insidious effects of the pollution weren't noticed until years later.
insinuate,suggest or hint in an indirect and unpleasant way,She insinuated that I had not been doing my fair share of the work.,True
insipid,lacking flavor or interest,The critic described the movie as an insipid attempt at comedy.,True
insolent,showing a rude and arrogant lack of respect,The customer was insolent to the waitstaff when his meal was delayed.,True
insouciant,showing a casual lack of concern,He displayed an insouciant attitude toward his approaching deadlines.,True
intangible,unable to be touched or grasped; not having physical presence,The company's most valuable assets were intangible - its reputation and brand recognition.,True
integral,necessary to make a whole complete,Trust is an integral part of any successful relationship.,True
intelligible,able to be understood,The poor connection made his words barely intelligible over the phone.,True
intemperate,lacking in self-control,His intemperate remarks during the debate damaged his reputation.,True
interlocutor,a person who takes part in a dialogue or conversation,The journalist proved to be a skilled interlocutor during the interview.,True
interminable,endless or seemingly endless,The meeting felt interminable as it dragged into its fourth hour.,True
internecine,destructive to both sides in a conflict,The company was damaged by internecine struggles between departments.,True
intransigent,unwilling or refusing to change one's views or to agree,The intransigent position of both parties made negotiation impossible.,True
intrepid,fearless; adventurous,The intrepid explorer ventured into unknown territory.,True
intrinsic,belonging naturally; essential,The intrinsic value of gold makes it a good investment during economic uncertainty.,True
introspective,examining one's own thoughts and feelings,She became more introspective after her near-death experience.,True
inundate,overwhelm with things or people to be dealt with,After the announcement, they were inundated with applications.
inure,accustom someone to something unpleasant,Years of working in emergency services had inured him to the sight of blood.,True
invective,insulting or abusive language,The debate degenerated into invective and personal attacks.,True
inveterate,having a particular habit or interest that is long-established,He's an inveterate gambler who can't resist a bet.,True
invidious,likely to arouse resentment,She found herself in the invidious position of having to choose between her friends.,True
invigorate,give strength or energy to,The brisk walk in the cold air invigorated her.,True
invincible,impossible to defeat or overcome,The team seemed invincible as they won their tenth consecutive game.,True
inviolable,never to be broken or dishonored,Freedom of speech is considered an inviolable right in democracies.,True
irascible,having or showing a tendency to be easily angered,The irascible old man yelled at children who came near his property.,True
irksome,irritating or annoying,She found her daily commute increasingly irksome.,True
irreparable,impossible to repair or make good,The accident caused irreparable damage to the antique vase.,True
irrevocable,not able to be changed or reversed,Once submitted, your decision is irrevocable.
itinerant,traveling from place to place,The itinerant worker moved wherever there were seasonal jobs available.,True
jaundiced,having or showing prejudice,He takes a jaundiced view of any new government initiatives.,True
jejune,naive, simplistic, and lacking in substance
jeopardize,put at risk,The scandal jeopardized his chance of winning the election.,True
jettison,throw or drop something from an aircraft or ship,They had to jettison some fuel before the emergency landing.,True
jingoism,extreme patriotism, especially in the form of aggressive foreign policy,The newspaper was criticized for promoting jingoism during the conflict.
jocular,fond of or characterized by joking; humorous,His jocular manner made him popular at parties.,True
jovial,cheerful and friendly,The jovial host made everyone feel welcome at the party.,True
judicious,showing good judgment,The manager made a judicious decision to delay the project.,True
juggernaut,a huge, powerful, and overwhelming force
juncture,a particular point in time,At this critical juncture, we need to decide whether to continue the project.
jurisprudence,the theory or philosophy of law,She studied jurisprudence at Oxford University.,True
juxtapose,place or deal with close together for contrasting effect,The documentary juxtaposes the wealth of the city with the poverty of the surrounding areas.,True
kaleidoscope,a constantly changing pattern or sequence of elements,The festival was a kaleidoscope of colors and sounds.,True
knotty,extremely difficult or complex,The negotiators faced a knotty problem that had no easy solution.,True
lachrymose,tearful or given to weeping,The movie's lachrymose ending left many in the audience crying.,True
lackluster,lacking in vitality, force, or conviction
laconic,using very few words,His laconic reply of "maybe" left me uncertain of his intentions.,False,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
laggard,a person who makes slow progress and falls behind others,The company was a laggard in adopting new technologies.,True
lambaste,criticize harshly,The critic lambasted the film for its poor acting and predictable plot.,True
lampoon,publicly criticize by using ridicule or satire,The sketch show lampoons political figures from all parties.,True
languid,lacking in vigor or vitality; slow and relaxed,She spent a languid afternoon reading in the hammock.,True
languish,lose or lack vitality; grow weak,The project languished after losing its main source of funding.,True
largesse,generosity in bestowing money or gifts,The charity event benefited from the largesse of several wealthy donors.,True
lascivious,feeling or revealing an overt sexual interest or desire,He gave her a lascivious look that made her uncomfortable.,True
latent,existing but not yet developed or manifest,She had a latent talent for music that wasn't discovered until adulthood.,True
laudable,deserving praise and commendation,His laudable efforts to help the community were recognized with an award.,True
lavish,sumptuously rich, elaborate, or luxurious
laxity,lack of strictness, severity, or care
lecherous,having or showing excessive sexual desire,She quit her job because of her boss's lecherous behavior.,True
legitimate,conforming to the law or to rules,The police questioned whether his business activities were legitimate.,True
lethargic,affected by lethargy; sluggish and apathetic,The hot weather made everyone feel lethargic and unwilling to work.,True
lethargy,a lack of energy and enthusiasm,After lunch, a lethargy seemed to settle over the office.
levity,humor or frivolity, especially when inappropriate,The judge scolded the attorney for his levity during the serious proceedings.
libertine,a person who freely indulges in sensual pleasures,In his youth, he had been known as a libertine
licentious,promiscuous and unprincipled in sexual matters,The novel was considered too licentious to be included in the school library.,True
limpid,clear and transparent,Her limpid explanation made the complex subject easy to understand.,True
lionize,treat as an object of great interest or importance,The returning astronauts were lionized by the media.,True
loquacious,tending to talk a great deal; garrulous,My loquacious seatmate on the plane told me his life story in great detail.,True
lucid,expressed clearly; easy to understand,Her lucid explanation helped me understand the complex concept.,True
ludicrous,so foolish or unreasonable as to be amusing,His claim to have read 100 books in a week was ludicrous.,True
lugubrious,looking or sounding sad and dismal,He gave a lugubrious sigh as he contemplated the work ahead.,True
luminous,giving off light; bright or shining,The luminous moon lit up the night sky.,True
lurid,very vivid in color, especially so as to create an unpleasantly harsh or jarring effect,The tabloid published lurid details of the celebrity scandal.
lustrous,having luster; shining,Her lustrous hair gleamed in the sunlight.,True
luxuriant,rich and profuse in growth,The valley was covered with luxuriant vegetation.,True
macabre,disturbing because concerned with or causing a fear of death,The haunted house was decorated with macabre images of skeletons and ghosts.,True
magnanimous,generous or forgiving, especially toward a rival or less powerful person,The champion was magnanimous in victory
magnate,a wealthy and influential businessperson,The media magnate owned newspapers in several countries.,True
magisterial,having or showing great authority,The professor delivered a magisterial lecture on ancient Rome.,True
magniloquent,using high-flown or bombastic language,His magniloquent speech impressed some but struck others as pompous.,True
maladroit,ineffective or bungling; clumsy,His maladroit handling of the situation only made things worse.,True
malaise,a general feeling of discomfort or unease,The economic downturn created a malaise that affected consumer confidence.,True
malapropism,the mistaken use of a word in place of a similar-sounding one,Her malapropism, saying "Specific Ocean" instead of "Pacific Ocean," caused much amusement.,False
malcontent,a person who is dissatisfied and rebellious,The organization was challenged by a group of malcontents who opposed the new policies.,True
malediction,a curse,The defeated wizard uttered a malediction against his conqueror.,True
malefactor,a person who commits a crime or does wrong,The police were searching for the malefactor who had vandalized the park.,True
malevolent,having or showing a wish to do evil to others,The villain in the story was a malevolent sorcerer bent on revenge.,True
malfeasance,wrongdoing, especially by a public official,The mayor was investigated for malfeasance after allegations of corruption.
malign,evil in nature or effect,The drug had malign side effects that weren't discovered until years later.,True
malleable,easily influenced; pliable,Young minds are malleable and open to new ideas.,True
malodorous,smelling very unpleasant,The malodorous garbage had to be removed immediately.,True
mandate,an official order or commission to do something,The election victory gave the party a mandate to implement its policies.,True
manifest,clear or obvious to the eye or mind,The effects of the drought were manifest in the withered crops.,True
manifold,many and various,The problem has manifold causes that need to be addressed separately.,True
manipulate,control or influence cleverly or unscrupulously,The politician tried to manipulate public opinion through misleading statements.,True
marginalize,treat a person or group as insignificant or peripheral,The new policy would marginalize rural communities.,True
martial,relating to fighting or war,The country has a long martial tradition.,True
